item_id,units_sold,revenue,sale_date,dq_failure_reason
I17050,-1152,1.3876190736E8,2025-09-06,units_sold_negative
I25731,542,4.858406488E7,2030-01-01,future_sale_date
I32231,-1449,2.591466383E7,2025-10-12,units_sold_negative
I18229,1167,1.1336867663E8,,missing_sale_date
I30541,103,3102425.6,,missing_sale_date
I35688,1014,1.3856850715E8,,missing_sale_date
I36663,837,1.0049729395E8,,missing_sale_date
I40289,1854,1.9699349385E8,2030-01-01,future_sale_date
I44351,1719,1.982402954E8,,missing_sale_date
I51760,1026,2.709569158E7,2030-01-01,future_sale_date
I53652,1046,1.0689852055E8,2030-01-01,future_sale_date
I54903,-81,1.088140032E7,2025-10-11,units_sold_negative
I80123,-1572,5241202.17,2025-10-10,units_sold_negative
I82448,1048,7.420351347E7,2030-01-01,future_sale_date
I91660,1879,2.7176422913E8,2030-01-01,future_sale_date
I93757,1744,2.4070208295E8,,missing_sale_date
I97497,117,2638650.59,,missing_sale_date
I98499,778,6.300435845E7,2030-01-01,future_sale_date
I99438,753,6.20921562E7,2030-01-01,future_sale_date
I100349,1296,5.17096283E7,,missing_sale_date
I106245,-595,1.21601958E7,2025-09-29,units_sold_negative
I108573,634,3.496891335E7,,missing_sale_date
I113614,392,2.26421065E7,,missing_sale_date
I118273,812,3.186887529E7,,missing_sale_date
I123619,-168,695571.45,2025-10-01,units_sold_negative
I127599,-510,4.223886929E7,2025-09-30,units_sold_negative
I14491,-1856,1.4221770463E8,2025-09-01,units_sold_negative
I16618,970,1588214.28,2030-01-01,future_sale_date
I20564,297,3572367.47,2030-01-01,future_sale_date
I23260,1924,1.1799788048E8,2030-01-01,future_sale_date
I27259,-767,1.107080857E7,2025-09-04,units_sold_negative
I27396,1547,1.434552787E7,2030-01-01,future_sale_date
I31056,-1287,9.532196512E7,2025-09-12,units_sold_negative
I31536,463,6.382951313E7,2030-01-01,future_sale_date
I34307,-1701,1.2629061929E8,2025-09-20,units_sold_negative
I34664,1544,7.527475186E7,2030-01-01,future_sale_date
I34861,-441,2655510.18,2025-09-09,units_sold_negative
I37164,1100,960645.73,2030-01-01,future_sale_date
I41036,1816,7.366480588E7,,missing_sale_date
I48603,-265,2.184683791E7,2025-10-30,units_sold_negative
I50807,1016,1.0636642772E8,,missing_sale_date
I51699,1551,1.2561987599E8,2030-01-01,future_sale_date
I55538,-1798,2.378797994E8,2025-10-25,units_sold_negative
I57034,-1369,1.836433176E8,2025-09-24,units_sold_negative
I58846,-263,3.895612518E7,2025-10-18,units_sold_negative
I59515,724,2.445479187E7,,missing_sale_date
I75184,256,1954960.07,2030-01-01,future_sale_date
I77575,1490,1.297062463E7,,missing_sale_date
I78364,414,8085410.51,2030-01-01,future_sale_date
I84011,1074,1.0187871144E8,,missing_sale_date
I97647,-1151,1.3406369015E8,2025-09-26,units_sold_negative
I105220,-800,1.1072788059E8,2025-10-09,units_sold_negative
I115876,-189,5599307.21,2025-09-25,units_sold_negative
I125868,477,4.818889424E7,2030-01-01,future_sale_date
I21465,-1155,1.6542107581E8,2025-09-23,units_sold_negative
I22741,1318,1.9014493189E8,2030-01-01,future_sale_date
I26813,-1832,1.23635286E7,2025-10-09,units_sold_negative
I21823,916,5.436429337E7,,missing_sale_date
I34663,1267,2.863864152E7,,missing_sale_date
I37426,-1723,1.8045405814E8,2025-10-09,units_sold_negative
I40223,585,8.454169997E7,,missing_sale_date
I41500,1026,6.52218649E7,2030-01-01,future_sale_date
I43032,1915,1.6588213904E8,,missing_sale_date
