seller_id,item_id,units_sold,revenue,marketplace_price,sale_date,dq_failure_reason
C249,I552137,2776,3.8865843253E8,76817.21,,missing_sale_date
C208,I552139,303,1.020006822E7,-127730.54,2025-10-08,price_negative
C241,I552151,1250,4.053371441E7,65878.71,,missing_sale_date
C207,I552155,2149,2.5742438013E8,66209.43,,missing_sale_date
C250,I552166,2223,2.9594563569E8,2783.12,,missing_sale_date
C246,I552176,2873,4.283044518E8,-27931.74,2025-10-29,price_negative
C250,I552187,2154,6.951922306E7,-14622.86,2025-10-02,price_negative
C234,I552205,2709,3.755804472E8,-47460.49,2025-10-17,price_negative
C206,I552216,1285,1.5026292964E8,-32953.85,2025-09-21,price_negative
C245,I552276,2774,1.7928544897E8,27847.5,,missing_sale_date
C203,I552291,2525,1.0678392544E8,-34659.53,2025-09-24,price_negative
C246,I552305,1366,1.0733552062E8,-118672.48,2025-10-16,price_negative
C240,I552330,607,5.048996482E7,57381.44,,missing_sale_date
C229,I552357,420,7369188.99,-8603.57,2025-09-11,price_negative
C218,I552363,829,2.941101182E7,-58401.95,2025-09-07,price_negative
C232,I552372,1918,1.9880620063E8,-7091.44,2025-09-26,price_negative
C240,I552380,1983,9.779658793E7,79213.1,,missing_sale_date
C228,I552399,1581,1.729385421E7,-20104.9,2025-09-03,price_negative
C249,I552416,1068,2.78526092E7,-78166.08,2025-10-14,price_negative
,I552431,1268,6752474.25,16541.9,,"missing_seller_id,missing_sale_date"
C218,I552439,275,1.378778402E7,-30314.11,2025-10-16,price_negative
,I552446,751,4.294468216E7,73881.07,2025-09-27,missing_seller_id
C234,I552451,1307,3.407584913E7,-135901.21,2025-09-06,price_negative
C239,I552467,505,1.932703782E7,51648.63,,missing_sale_date
C248,I552481,166,5770223.59,-81266.28,2025-10-03,price_negative
C204,I552500,1099,6.188128866E7,146128.61,,missing_sale_date
C224,I552504,525,2.386477927E7,-142544.02,2025-10-13,price_negative
,I552514,924,1.1630022018E8,35910.31,2025-09-24,missing_seller_id
C212,I552523,1408,5.466032739E7,-13413.54,2025-10-21,price_negative
C247,I552524,495,5.763766839E7,124184.25,,missing_sale_date
C238,I552530,1036,7.71258135E7,139025.93,,missing_sale_date
,I552565,701,0.0,111609.13,2025-09-14,missing_seller_id
C216,I552586,1636,1.8382226277E8,21125.97,,missing_sale_date
,I552592,1365,1.465348139E8,62417.32,2025-10-30,missing_seller_id
C228,I552621,0,2.2304020036E8,-69409.29,2025-10-14,price_negative
C217,I552631,279,1856174.74,92985.4,,missing_sale_date
C203,I552634,1433,1.334842953E8,-145183.84,2025-09-19,price_negative
C231,I552672,2392,2.5905626067E8,127091.37,,missing_sale_date
,I552685,801,7.877972697E7,65356.72,2025-10-06,missing_seller_id
C236,I552767,831,6.04028866E7,62869.79,,missing_sale_date
C240,I552782,2905,1.637528797E8,66442.57,,missing_sale_date
,I552803,1248,6.868275681E7,7027.06,2025-10-07,missing_seller_id
C242,I552867,211,2.71855264E7,-91085.21,2025-10-15,price_negative
C220,I552871,2394,3.2921231938E8,16202.64,,missing_sale_date
C223,I552879,743,1.0584051187E8,-102100.28,2025-10-23,price_negative
,I552908,2907,3.3133943666E8,48384.54,2025-09-10,missing_seller_id
C216,I552909,1547,7.567321404E7,-133037.12,2025-10-28,price_negative
C227,I553001,252,1.966567383E7,57142.8,,missing_sale_date
C202,I553004,627,4.600735836E7,-89349.83,2025-10-30,price_negative
C245,I553013,1359,1.6519659214E8,-140659.61,2025-10-01,price_negative
C248,I553021,0,7.325149873E7,-64985.99,2025-10-31,price_negative
,I553039,2557,1.0222594753E8,10093.88,2025-09-15,missing_seller_id
C241,I553041,1917,6.42352877E7,58896.61,,missing_sale_date
C236,I553054,1692,2.417994446E7,-12193.91,2025-10-11,price_negative
C229,I553073,804,2119755.75,17494.63,,missing_sale_date
,I553087,2567,8427332.53,130935.85,2025-09-07,missing_seller_id
C214,I553089,2875,7.229418051E7,101939.38,,missing_sale_date
C205,I553094,1902,7425428.83,129590.23,,missing_sale_date
C229,I553122,1033,3.937913146E7,51108.1,,missing_sale_date
,I553156,2479,3.751690445E7,134778.72,2025-10-01,missing_seller_id
C208,I553166,1106,2.114230227E7,-86928.39,2025-10-24,price_negative
C211,I553171,1332,9.546988764E7,-124433.26,2025-09-29,price_negative
C235,I553174,1985,1.5007989856E8,-86742.3,2025-09-24,price_negative
C222,I553188,1337,0.0,147312.91,,missing_sale_date
C237,I553198,2639,1.1573085172E8,-147889.47,2025-10-21,price_negative
,I553209,260,1.275534883E7,29680.58,2025-10-31,missing_seller_id
C238,I553223,236,1.425946555E7,11130.66,,missing_sale_date
C211,I553267,280,2.041767009E7,23936.26,,missing_sale_date
,I553279,1911,2.0905846214E8,58992.53,2025-10-02,missing_seller_id
,I553281,162,1.056122974E7,19119.5,2025-09-18,missing_seller_id
C228,I553296,2117,0.0,35607.63,,missing_sale_date
,I553313,1220,1.6870120754E8,59664.0,2025-10-12,missing_seller_id
C232,I553321,229,2.381075039E7,-23855.6,2025-09-11,price_negative
,I553327,2362,3.549034925E7,15114.1,2025-09-10,missing_seller_id
