seller_id,item_id,item_name,category,market_price,expected_units_sold,expected_revenue
S111,I109726,,,141292.82,4515.0,6.379370823000001E8
S126,I109726,,,141292.82,4515.0,6.379370823000001E8
S129,I109726,,,141292.82,4515.0,6.379370823000001E8
S134,I109726,,,141292.82,4515.0,6.379370823000001E8
S138,I109726,,,141292.82,4515.0,6.379370823000001E8
S139,I109726,,,141292.82,4515.0,6.379370823000001E8
S149,I109726,,,141292.82,4515.0,6.379370823000001E8
S104,I109726,,,141292.82,4515.0,6.379370823000001E8
S110,I109726,,,141292.82,4515.0,6.379370823000001E8
S114,I109726,,,141292.82,4515.0,6.379370823000001E8
S130,I109726,,,141292.82,4515.0,6.379370823000001E8
S131,I109726,,,141292.82,4515.0,6.379370823000001E8
S145,I109726,,,141292.82,4515.0,6.379370823000001E8
S147,I109726,,,141292.82,4515.0,6.379370823000001E8
S101,I109726,,,141292.82,4515.0,6.379370823000001E8
S113,I109726,,,141292.82,4515.0,6.379370823000001E8
S128,I109726,,,141292.82,4515.0,6.379370823000001E8
S133,I109726,,,141292.82,4515.0,6.379370823000001E8
S142,I109726,,,141292.82,4515.0,6.379370823000001E8
S144,I109726,,,141292.82,4515.0,6.379370823000001E8
S146,I109726,,,141292.82,4515.0,6.379370823000001E8
S148,I109726,,,141292.82,4515.0,6.379370823000001E8
S109,I109726,,,141292.82,4515.0,6.379370823000001E8
S121,I109726,,,141292.82,4515.0,6.379370823000001E8
S125,I109726,,,141292.82,4515.0,6.379370823000001E8
S105,I109726,,,141292.82,4515.0,6.379370823000001E8
S115,I109726,,,141292.82,4515.0,6.379370823000001E8
S122,I109726,,,141292.82,4515.0,6.379370823000001E8
S123,I109726,,,141292.82,4515.0,6.379370823000001E8
S135,I109726,,,141292.82,4515.0,6.379370823000001E8
S103,I109726,,,141292.82,4515.0,6.379370823000001E8
S136,I109726,,,141292.82,4515.0,6.379370823000001E8
S140,I109726,,,141292.82,4515.0,6.379370823000001E8
S107,I109726,,,141292.82,4515.0,6.379370823000001E8
S112,I109726,,,141292.82,4515.0,6.379370823000001E8
S117,I109726,,,141292.82,4515.0,6.379370823000001E8
S124,I109726,,,141292.82,4515.0,6.379370823000001E8
S141,I109726,,,141292.82,4515.0,6.379370823000001E8
S150,I109726,,,141292.82,4515.0,6.379370823000001E8
S100,I109726,,,141292.82,4515.0,6.379370823000001E8
S116,I109726,,,141292.82,4515.0,6.379370823000001E8
S132,I109726,,,141292.82,4515.0,6.379370823000001E8
S119,I109726,,,141292.82,4515.0,6.379370823000001E8
S120,I109726,,,141292.82,4515.0,6.379370823000001E8
S127,I109726,,,141292.82,4515.0,6.379370823000001E8
S137,I109726,,,141292.82,4515.0,6.379370823000001E8
S102,I109726,,,141292.82,4515.0,6.379370823000001E8
S106,I109726,,,141292.82,4515.0,6.379370823000001E8
S108,I109726,,,141292.82,4515.0,6.379370823000001E8
S118,I109726,,,141292.82,4515.0,6.379370823000001E8
S143,I109726,,,141292.82,4515.0,6.379370823000001E8
