seller_id,item_id,item_name,category,marketplace_price,stock_qty,dq_failure_reason
S100,I1001584,Dell Xps 13 Laptop,Electronics,-140958.01,84,negative_price
S100,I1007557,Skechers Gowalk,Footwear,-48518.14,40,negative_price
S100,I1009365,Boat Smartwatch,Electronics,-21181.92,460,negative_price
S100,I102302,Samsung Galaxy S24 Ultra,Electronics,-34128.48,404,negative_price
S100,I113737,,Home Appliances,94020.66,354,missing_item_name
S100,I114829,,Apparel,112713.76,55,missing_item_name
S100,I129825,,Electronics,23891.01,442,missing_item_name
S100,I144293,,Apparel,132139.97,152,missing_item_name
S100,I148335,,Electronics,85388.26,321,missing_item_name
S100,I156240,Dyson Vacuum Cleaner,Home Appliances,-92560.64,45,negative_price
S100,I162292,,Home Appliances,10795.85,214,missing_item_name
S100,I164255,,Apparel,149279.37,374,missing_item_name
S100,I168231,Levis Denim Jacket,Apparel,84281.02,-11,negative_stock
S100,I184654,Adidas Ultraboost 23,Footwear,113634.21,-15,negative_stock
S100,I186762,,Home Appliances,23024.12,352,missing_item_name
S100,I197369,,Apparel,136619.85,155,missing_item_name
S100,I206527,Zara Maxi Dress,Apparel,-5041.54,389,negative_price
S100,I209799,,Apparel,134240.99,329,missing_item_name
S100,I262616,Levis Denim Jacket,Apparel,123767.7,-7,negative_stock
S100,I265728,U.s. Polo T-shirt,Apparel,-12384.83,334,negative_price
S100,I272837,,Electronics,37061.28,367,missing_item_name
S100,I273461,,Home Appliances,121307.07,16,missing_item_name
S100,I28873,Nike Air Zoom Pegasus,Footwear,78173.06,-20,negative_stock
S100,I288795,,Footwear,35860.37,127,missing_item_name
S100,I290942,,Footwear,95144.26,264,missing_item_name
S100,I299938,,Home Appliances,2318.63,40,missing_item_name
S100,I318990,,Electronics,38824.54,436,missing_item_name
S100,I325545,Puma Running Shoes,Footwear,75788.98,-3,negative_stock
S100,I332627,Lg 7kg Washing Machine,Home Appliances,-20886.7,451,negative_price
S100,I333674,U.s. Polo T-shirt,Apparel,-51275.13,414,negative_price
S100,I338040,Apple Iphone 15 Pro,Electronics,-89030.48,461,negative_price
S100,I33945,H&m Cotton Shirt,Apparel,58950.49,-16,negative_stock
S100,I340015,,Apparel,68509.07,408,missing_item_name
S100,I34134,,Footwear,54135.75,283,missing_item_name
S100,I345063,Lg 7kg Washing Machine,Home Appliances,42830.12,-11,negative_stock
S100,I348164,Dyson Vacuum Cleaner,Home Appliances,47047.67,-19,negative_stock
S100,I351475,Apple Iphone 15 Pro,Electronics,59675.99,-5,negative_stock
S100,I370386,,Electronics,98917.45,-19,"missing_item_name,negative_stock"
S100,I401520,Nike Air Zoom Pegasus,Footwear,-78144.18,435,negative_price
S100,I406764,Dyson Vacuum Cleaner,Home Appliances,-37527.75,308,negative_price
S100,I410461,Apple Iphone 15 Pro,Electronics,43417.95,-5,negative_stock
S100,I428485,Philips Air Fryer,Home Appliances,138164.19,-5,negative_stock
S100,I439654,Sony Wh-1000xm5 Headphones,Electronics,-62227.12,459,negative_price
S100,I441620,,Footwear,3322.54,385,missing_item_name
S100,I450016,,Footwear,70839.22,310,missing_item_name
S100,I455021,Adidas Ultraboost 23,Footwear,127497.28,-4,negative_stock
S100,I456723,,Home Appliances,104404.47,451,missing_item_name
S100,I466334,,Electronics,27952.96,291,missing_item_name
S100,I468282,,Apparel,15889.25,216,missing_item_name
S100,I478455,Skechers Gowalk,Footwear,-65369.75,332,negative_price
S100,I503256,Lg 7kg Washing Machine,Home Appliances,22627.88,-6,negative_stock
S100,I507197,,Footwear,24069.48,362,missing_item_name
S100,I518841,Bajaj Mixer Grinder,Home Appliances,26517.1,-4,negative_stock
S100,I526730,,Footwear,54751.75,203,missing_item_name
S100,I527285,Zara Maxi Dress,Apparel,110463.17,-10,negative_stock
S100,I530349,Boat Smartwatch,Electronics,88499.44,-11,negative_stock
S100,I531824,,Footwear,49485.66,258,missing_item_name
S100,I535351,U.s. Polo T-shirt,Apparel,147299.87,-20,negative_stock
S100,I538414,Sony Wh-1000xm5 Headphones,Electronics,-139869.52,490,negative_price
S100,I544026,Nike Air Zoom Pegasus,Footwear,17742.3,-14,negative_stock
S100,I546678,Reebok Nano X4,Footwear,-97728.36,465,negative_price
S100,I551485,Samsung Galaxy S24 Ultra,Electronics,-106172.76,239,negative_price
S100,I560571,,Footwear,111577.26,82,missing_item_name
S100,I56371,Zara Maxi Dress,Apparel,-73217.43,330,negative_price
S100,I565970,,Home Appliances,127962.06,77,missing_item_name
S100,I581497,Lg 7kg Washing Machine,Home Appliances,79295.77,-3,negative_stock
S100,I583814,,Electronics,101469.13,101,missing_item_name
S100,I58527,,Apparel,120044.18,369,missing_item_name
S100,I58536,Lg 7kg Washing Machine,Home Appliances,-110373.29,87,negative_price
S100,I603250,Levis Denim Jacket,Apparel,-6035.33,285,negative_price
S100,I620309,Reebok Nano X4,Footwear,-38427.21,77,negative_price
S100,I623680,,Home Appliances,118978.98,189,missing_item_name
S100,I625501,,Home Appliances,53106.89,182,missing_item_name
S100,I634884,,Home Appliances,19492.96,349,missing_item_name
S100,I650726,Reebok Nano X4,Footwear,96805.25,-12,negative_stock
S100,I679821,Zara Maxi Dress,Apparel,89268.87,-11,negative_stock
S100,I684963,,Electronics,11060.4,55,missing_item_name
S100,I707158,Allen Solly Formal Pants,Apparel,21897.49,-18,negative_stock
S100,I711494,Dyson Vacuum Cleaner,Home Appliances,46222.93,-16,negative_stock
S100,I713293,Lg 7kg Washing Machine,Home Appliances,126925.24,-7,negative_stock
S100,I748912,Allen Solly Formal Pants,Apparel,-103772.39,398,negative_price
S100,I758359,Dyson Vacuum Cleaner,Home Appliances,12128.52,-5,negative_stock
S100,I762503,,Home Appliances,99219.73,166,missing_item_name
S100,I763916,,Electronics,147306.06,157,missing_item_name
S100,I778654,,Apparel,144776.0,-20,"missing_item_name,negative_stock"
S100,I787992,Dyson Vacuum Cleaner,Home Appliances,-38888.1,434,negative_price
S100,I788669,,Footwear,42913.87,174,missing_item_name
S100,I800760,Puma Running Shoes,Footwear,-104436.36,61,negative_price
S100,I805002,,Footwear,45759.89,228,missing_item_name
S100,I812718,,Electronics,80398.57,439,missing_item_name
